seed,best_epoch,best_mrr,hits@1_at_best,hits@3_at_best,hits@10_at_best,loss_at_best
seed1,45.0,0.2069365512132644,0.141,0.2256,0.336,0.0474273257790819
seed2,80.0,0.221476910996437,0.1454,0.24,0.3766,0.0389350425065349
seed3,90.0,0.2234053183555603,0.1516,0.243,0.3652,0.0408856898399167
mean+/-std,,0.2173 +/- 0.0074,0.1460 +/- 0.0043,0.2362 +/- 0.0076,0.3593 +/- 0.0171,0.0424 +/- 0.0036
