epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,1.24149773756663,0.255490626847744,0.121,0.3112,0.5262,0.5439442992210388,0.038636140525341034,0.5199400782585144,0.024675913155078888,0.5702634453773499,0.03372494876384735,0.5230000019073486
10,1.201175569958157,0.2803949125766754,0.1194,0.366,0.5866,0.532008707523346,0.050371188670396805,0.49316173791885376,0.02838456630706787,0.5753253698348999,0.03014983981847763,0.5271999835968018
15,1.1776969941457112,0.29343347203731535,0.1222,0.3914,0.6022,0.5331432819366455,0.05895794928073883,0.4843912124633789,0.030702225863933563,0.5868114233016968,0.02771667204797268,0.5239999890327454
20,1.159448955323961,0.26484158415794373,0.0766,0.372,0.6176,0.5290158987045288,0.06167145445942879,0.4791196584701538,0.03389674797654152,0.5851464867591858,0.02894904837012291,0.5293999910354614
25,1.1469361654917398,0.33553229904174803,0.1928,0.4006,0.6214,0.5304635763168335,0.06446748971939087,0.4777040481567383,0.03601493313908577,0.5881258845329285,0.030224701389670372,0.5221999883651733
30,1.1353173775143093,0.2926223936080933,0.122,0.3854,0.6164,0.5304936766624451,0.06425995379686356,0.4791092872619629,0.03914932534098625,0.5867430567741394,0.030290836468338966,0.522599995136261
35,1.1266959216859607,0.3106199180841446,0.1494,0.3964,0.6202,0.5214395523071289,0.06649024784564972,0.4691300392150879,0.04006529226899147,0.5815269351005554,0.03002854250371456,0.534600019454956
40,1.1188307200537788,0.3180846993327141,0.1564,0.4052,0.6276,0.5265258550643921,0.06599020212888718,0.47189536690711975,0.03929564356803894,0.5840731263160706,0.02932261861860752,0.5130000114440918
45,1.1104749245113796,0.3273489898443222,0.1724,0.4062,0.6374,0.5249180793762207,0.06639671325683594,0.47023332118988037,0.041054945439100266,0.5815622210502625,0.03038048930466175,0.5088000297546387
50,1.103623595767551,0.32880162714719774,0.1708,0.4062,0.6376,0.5234860181808472,0.06798065453767776,0.4709309935569763,0.04200214147567749,0.5847849249839783,0.03122182935476303,0.5383999943733215
55,1.0982589266035292,0.27165955970287325,0.0768,0.391,0.627,0.5208125710487366,0.06978186219930649,0.46498769521713257,0.04324395954608917,0.5817761421203613,0.032019298523664474,0.5220000147819519
60,1.0927622371249728,0.29756268808841707,0.1188,0.3998,0.6334,0.5249133706092834,0.0663595125079155,0.4720577001571655,0.04364660009741783,0.580058753490448,0.0324750617146492,0.5105999708175659
65,1.0874592971801758,0.3247868305444717,0.1602,0.4164,0.6462,0.5221942067146301,0.06655174493789673,0.4716072380542755,0.043728724122047424,0.5794685482978821,0.03318294882774353,0.531000018119812
70,1.0841602002249824,0.37430813670158386,0.2354,0.445,0.6508,0.5253763794898987,0.06519639492034912,0.47343429923057556,0.041519321501255035,0.5811978578567505,0.03082982264459133,0.5180000066757202
75,1.0812147861056858,0.3269128964662552,0.152,0.432,0.6436,0.5236930251121521,0.06566108763217926,0.4740169048309326,0.04388377070426941,0.5792627930641174,0.033638037741184235,0.527999997138977
80,1.0783745818667942,0.28736477999687193,0.1074,0.392,0.6414,0.5272207260131836,0.06363481283187866,0.4784579277038574,0.04188556596636772,0.5815069675445557,0.03178347647190094,0.5267999768257141
85,1.0731277667151558,0.30231859793663024,0.1314,0.3966,0.6334,0.5239320397377014,0.06567484885454178,0.4720001518726349,0.04271606728434563,0.5788119435310364,0.03288083150982857,0.5138000249862671
90,1.0695872192912632,0.30692222709655764,0.1292,0.4104,0.6442,0.5240183472633362,0.06344357132911682,0.47508570551872253,0.04255140200257301,0.5767744779586792,0.03237093240022659,0.5188000202178955
95,1.0687825870513916,0.29302349112033843,0.1122,0.3986,0.638,0.5208292007446289,0.06518027186393738,0.4722960591316223,0.04346432536840439,0.5767132043838501,0.03361370787024498,0.5351999998092651
100,1.062496893670824,0.30680408692359923,0.1392,0.3998,0.6384,0.5260742902755737,0.06545001268386841,0.4750446677207947,0.04377725347876549,0.5804777145385742,0.03273449465632439,0.515999972820282
105,1.059700890382131,0.3238854378223419,0.1562,0.4236,0.6456,0.5233550667762756,0.06398820132017136,0.47489503026008606,0.04337231069803238,0.576701819896698,0.033165670931339264,0.5239999890327454
110,1.0613129578696356,0.2975456108093262,0.121,0.4,0.636,0.5225058197975159,0.06310170888900757,0.47545790672302246,0.04431505873799324,0.5735970139503479,0.034047260880470276,0.5206000208854675
115,1.0575687389903599,0.3148768120527268,0.14,0.4128,0.6504,0.5246686339378357,0.06327318400144577,0.47674405574798584,0.0423244833946228,0.5775530338287354,0.03336676210165024,0.5246000289916992
120,1.0536822202470568,0.30751944065093995,0.126,0.414,0.6536,0.5254020690917969,0.062495604157447815,0.4783710241317749,0.04399068281054497,0.5768858194351196,0.031478092074394226,0.522599995136261
