epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,0.08121228492573689,0.11664787116646767,0.0724,0.122,0.198,,,,,,,
10,0.06784597781829928,0.16213080312013625,0.1072,0.1716,0.2722,,,,,,,
15,0.06155482376925647,0.14539581065773963,0.0876,0.1612,0.2554,,,,,,,
20,0.05741767804628532,0.19558740482330322,0.14,0.2052,0.3014,,,,,,,
25,0.05431513096156873,0.1745919903278351,0.1084,0.1906,0.305,,,,,,,
30,0.05227331527949948,0.17469151895046234,0.1058,0.1944,0.3078,,,,,,,
35,0.050338095433911996,0.18541348938941957,0.1206,0.2006,0.3062,,,,,,,
40,0.0487788204642895,0.1768614745736122,0.1106,0.197,0.3006,,,,,,,
45,0.04742732577908196,0.20693655121326446,0.141,0.2256,0.336,,,,,,,
50,0.04631875794822056,0.19347154154777527,0.119,0.2182,0.3336,,,,,,,
55,0.04555103074955313,0.2038116351366043,0.126,0.2322,0.355,,,,,,,
60,0.04459054813426184,0.18841056379079818,0.1154,0.2104,0.3264,,,,,,,
65,0.04384843519839801,0.19322055691480636,0.115,0.2208,0.3454,,,,,,,
70,0.04321198110272618,0.19131854984760285,0.1134,0.2208,0.3404,,,,,,,
75,0.04242425920490764,0.19154186356067657,0.1168,0.2154,0.3364,,,,,,,
80,0.042010442660141145,0.19478450210094453,0.1198,0.2126,0.3454,,,,,,,
85,0.041462004858706346,0.20625896340608596,0.1254,0.2358,0.3658,,,,,,,
90,0.041050289451193656,0.20005376734733582,0.1242,0.2264,0.351,,,,,,,
95,0.04059642059483418,0.19973955974578858,0.1228,0.224,0.3478,,,,,,,
