epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,0.0811865503997787,0.10402246616482734,0.0526,0.1236,0.194,,,,,,,
10,0.06774243026187546,0.16623378482162954,0.118,0.1718,0.2552,,,,,,,
15,0.0615266275126487,0.17574806909561158,0.1134,0.1964,0.2968,,,,,,,
20,0.057412897052831556,0.14535927457809447,0.0842,0.1664,0.2624,,,,,,,
25,0.054523031901274076,0.18901136980056762,0.1234,0.2084,0.318,,,,,,,
30,0.0523105498011175,0.1710047616481781,0.1066,0.1864,0.2856,,,,,,,
35,0.05055787334659774,0.20750019232034683,0.138,0.2326,0.3352,,,,,,,
40,0.049086433308395114,0.1793117152452469,0.112,0.1992,0.312,,,,,,,
45,0.04786508842861574,0.17038088531494142,0.0954,0.1988,0.3058,,,,,,,
50,0.04670539385590114,0.22129789671897887,0.1398,0.2548,0.3736,,,,,,,
55,0.045717521962758745,0.19633085346221923,0.1232,0.2208,0.3362,,,,,,,
60,0.04470008446246778,0.20403775279521943,0.1286,0.2288,0.3436,,,,,,,
65,0.043946957644565326,0.2132059222459793,0.14,0.234,0.3558,,,,,,,
70,0.04323657404778427,0.20743276124000548,0.1296,0.2338,0.3596,,,,,,,
75,0.04262482118792832,0.21111213793754577,0.1346,0.2398,0.3678,,,,,,,
80,0.04207908822909782,0.21429967312812806,0.1394,0.2354,0.3642,,,,,,,
85,0.04157508993031163,0.2054286075592041,0.13,0.2296,0.351,,,,,,,
90,0.04088568983991679,0.2234053183555603,0.1516,0.243,0.3652,,,,,,,
95,0.04052533053694979,0.20217886879444122,0.1214,0.2274,0.3558,,,,,,,
100,0.04021483773708736,0.23453810839653016,0.1594,0.2524,0.3864,,,,,,,
105,0.0396127291513901,0.21847559380531312,0.1372,0.2494,0.3768,,,,,,,
110,0.03929253999683026,0.2334752845287323,0.1568,0.2586,0.3926,,,,,,,
115,0.03883251671581284,0.2148238738298416,0.1306,0.2472,0.3742,,,,,,,
120,0.03865787677319819,0.22318357043266296,0.1434,0.2482,0.3848,,,,,,,
125,0.03824994405486474,0.19948113977909088,0.116,0.2282,0.3598,,,,,,,
130,0.03807143277586683,0.19817330446243286,0.1228,0.2202,0.3446,,,,,,,
135,0.037884626169934085,0.22007544391155243,0.14,0.2444,0.3826,,,,,,,
140,0.037523954016107475,0.2253423616409302,0.1442,0.2542,0.385,,,,,,,
145,0.037276262797317224,0.23319964356422423,0.151,0.2588,0.3886,,,,,,,
150,0.037076660223599324,0.20199658324718475,0.1158,0.2328,0.369,,,,,,,
