epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,0.023671704650807538,0.11687482380867005,0.044,0.127,0.251,,,,,,,
10,0.01888379266203724,0.15125778412818908,0.075,0.155,0.293,,,,,,,
15,0.01673657988737288,0.16362287187576294,0.085,0.166,0.327,,,,,,,
20,0.015135995921139655,0.17328988766670228,0.089,0.178,0.343,,,,,,,
25,0.01405918364731693,0.19054856038093568,0.097,0.206,0.382,,,,,,,
30,0.01318555235813715,0.17792774415016174,0.096,0.182,0.358,,,,,,,
35,0.012502132666811935,0.23931683778762816,0.139,0.264,0.463,,,,,,,
40,0.011857307368987486,0.21910143971443177,0.116,0.245,0.449,,,,,,,
45,0.01129048325482903,0.2400486378669739,0.138,0.266,0.46,,,,,,,
50,0.010909164211051049,0.2598302965164185,0.152,0.28,0.501,,,,,,,
55,0.010495332965786619,0.26789938640594485,0.158,0.302,0.496,,,,,,,
60,0.01011993050250519,0.272364595413208,0.166,0.304,0.496,,,,,,,
65,0.009888738277368248,0.2702223718166351,0.165,0.309,0.489,,,,,,,
70,0.009443079639152674,0.262130122423172,0.149,0.299,0.506,,,,,,,
75,0.009314217014961238,0.2614099454879761,0.155,0.29,0.484,,,,,,,
80,0.00901715945464706,0.2670973861217499,0.16,0.298,0.521,,,,,,,
85,0.00860989804679871,0.2756427087783814,0.164,0.325,0.514,,,,,,,
90,0.008603827062822682,0.2693529744148254,0.165,0.303,0.504,,,,,,,
95,0.008402380969767509,0.26738919043540954,0.15,0.323,0.522,,,,,,,
100,0.00807952416117156,0.27772404718399046,0.157,0.336,0.516,,,,,,,
105,0.007918443415914416,0.2747852590084076,0.165,0.319,0.506,,,,,,,
110,0.007770295778755099,0.29373003578186035,0.179,0.334,0.53,,,,,,,
115,0.007613538716931974,0.28580174255371094,0.178,0.328,0.527,,,,,,,
120,0.007476031859895508,0.25066906595230104,0.141,0.289,0.495,,,,,,,
125,0.007496669105756537,0.2819936208724976,0.158,0.343,0.529,,,,,,,
130,0.007073445165971,0.2711985301971436,0.158,0.311,0.507,,,,,,,
135,0.007050246822856073,0.26945895147323606,0.153,0.314,0.515,,,,,,,
140,0.006916105494479109,0.2764496583938599,0.167,0.323,0.505,,,,,,,
145,0.006732202328030804,0.2599618866443634,0.152,0.314,0.468,,,,,,,
150,0.006742636984103899,0.28487167596817015,0.166,0.329,0.534,,,,,,,
155,0.0066864692221554976,0.2624154868125915,0.15,0.32,0.485,,,,,,,
160,0.006552600350819136,0.25094103121757505,0.143,0.29,0.486,,,,,,,
