epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,0.023844945844949075,0.1469449035525322,0.078,0.155,0.27,,,,,,,
10,0.018708253723544704,0.18579492902755737,0.108,0.197,0.322,,,,,,,
15,0.016729032660613916,0.1867815420627594,0.098,0.198,0.368,,,,,,,
20,0.015344063659492684,0.21542915630340576,0.128,0.226,0.404,,,,,,,
25,0.014310000145709828,0.22357940530776976,0.132,0.239,0.421,,,,,,,
30,0.013401002610886567,0.23747804951667786,0.133,0.264,0.455,,,,,,,
35,0.012681034160777926,0.2505277307033539,0.149,0.272,0.47,,,,,,,
40,0.01207289202016239,0.23537102055549622,0.127,0.267,0.465,,,,,,,
45,0.01143669884186238,0.24808329319953917,0.149,0.269,0.446,,,,,,,
50,0.010852271366227222,0.2534087743759155,0.147,0.282,0.483,,,,,,,
55,0.010800684829806223,0.2526222004890442,0.146,0.276,0.496,,,,,,,
60,0.010197969227048912,0.2601201288700104,0.153,0.291,0.492,,,,,,,
65,0.009721366630401462,0.2616604266166687,0.161,0.286,0.479,,,,,,,
70,0.009716997396409218,0.26355732822418215,0.152,0.3,0.513,,,,,,,
75,0.00927260170819385,0.2628485534191132,0.154,0.309,0.49,,,,,,,
80,0.008917535517340232,0.27150020480155945,0.165,0.311,0.495,,,,,,,
85,0.008776034683442527,0.2874729883670807,0.174,0.33,0.527,,,,,,,
90,0.008365208405609193,0.2582833299636841,0.158,0.287,0.477,,,,,,,
95,0.00822729258001537,0.2658477873802185,0.152,0.317,0.508,,,,,,,
100,0.00790619447913119,0.2612916340827942,0.153,0.292,0.501,,,,,,,
105,0.007845366713713463,0.27069818449020383,0.167,0.309,0.48,,,,,,,
110,0.007596475246828049,0.2735734782218933,0.16,0.316,0.503,,,,,,,
115,0.007354768993345236,0.2559708878993988,0.151,0.289,0.479,,,,,,,
120,0.007349398045334965,0.27884576892852786,0.161,0.327,0.517,,,,,,,
125,0.007224031301264308,0.2724081263542175,0.168,0.306,0.514,,,,,,,
130,0.007139779434318801,0.2692222707271576,0.154,0.319,0.505,,,,,,,
135,0.0068272707752552566,0.282362761259079,0.169,0.325,0.53,,,,,,,
