seed,best_epoch,best_mrr,hits@1_at_best,hits@3_at_best,hits@10_at_best,loss_at_best
seed1,50.0,0.4788429714202881,0.3348,0.5652,0.7546,0.5834299143155416
seed2,16.0,0.51753600025177,0.3692,0.6074,0.8056,0.9449674312273662
seed3,30.0,0.4977835793495178,0.3474,0.5894,0.7854,0.6701765478981866
mean+/-std,,0.4981 +/- 0.0158,0.3505 +/- 0.0142,0.5873 +/- 0.0173,0.7819 +/- 0.0210,0.7329 +/- 0.1541
