epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
2,1.292224070760939,0.2491095959737897,0.072,0.3744,0.5306,0.5034455060958862,0.0997319296002388,0.43816494941711426,0.04153398796916008,0.5787346363067627,0.09404756873846054,0.5356000065803528
4,1.2652157576878866,0.33405407593250275,0.1572,0.4574,0.6348,0.5012000203132629,0.10664595663547516,0.42484596371650696,0.04023795574903488,0.5836523771286011,0.09387605637311935,0.5192000269889832
6,1.2241421932644314,0.3826905272960663,0.174,0.5374,0.7276,0.5048682689666748,0.11063000559806824,0.4225258231163025,0.040689051151275635,0.5945024490356445,0.0913487896323204,0.5212000012397766
8,1.177409380806817,0.41534915788173676,0.2112,0.5696,0.7606,0.5018916130065918,0.11337444931268692,0.4190605580806732,0.0458790585398674,0.5899872183799744,0.0960620567202568,0.5153999924659729
10,1.1222793096966213,0.49404115643501284,0.333,0.601,0.7912,0.5045017600059509,0.11289370059967041,0.4237435758113861,0.04838581383228302,0.5894354581832886,0.09805036336183548,0.5126000046730042
12,1.064958545896742,0.3591539179325104,0.1122,0.5446,0.7864,0.5034288763999939,0.11360976845026016,0.42541438341140747,0.05230368673801422,0.5866013169288635,0.10170970857143402,0.515999972820282
14,1.004029721683926,0.4158370722055435,0.198,0.5702,0.8016,0.49044373631477356,0.11231774836778641,0.4187915325164795,0.052083082497119904,0.5755797624588013,0.10503857582807541,0.5429999828338623
16,0.9444613477918837,0.48938273048400877,0.3238,0.5932,0.8048,0.4904239773750305,0.10877641290426254,0.42279648780822754,0.05338279530405998,0.5651102066040039,0.10546845197677612,0.5248000025749207
18,0.8846056665314569,0.40258086023330686,0.1798,0.5586,0.7972,0.49015581607818604,0.11277482658624649,0.42000049352645874,0.055873721837997437,0.5677582025527954,0.10893462598323822,0.5252000093460083
20,0.8318687746259901,0.35537373661994937,0.108,0.5302,0.7936,0.4915678799152374,0.11163264513015747,0.42109042406082153,0.05490408092737198,0.5729814171791077,0.10492486506700516,0.5360000133514404
22,0.7881014283498128,0.436699018239975,0.241,0.5662,0.8006,0.4877384901046753,0.11349887400865555,0.41811326146125793,0.05861503258347511,0.5642618536949158,0.10991077125072479,0.5235999822616577
