epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
2,1.2987712287902833,0.11766772001385689,0.0294,0.1392,0.293,0.5092658996582031,0.078220434486866,0.4565362334251404,0.03350115939974785,0.5692547559738159,0.07099639624357224,0.5321999788284302
4,1.25797352525923,0.36457816317081454,0.2,0.4758,0.6414,0.5049461722373962,0.09014075249433517,0.4369559586048126,0.03075939416885376,0.5782489776611328,0.07421839237213135,0.5188000202178955
6,1.220178475909763,0.3477101689219475,0.1324,0.5062,0.7036,0.5075552463531494,0.09532134979963303,0.4346354901790619,0.03638184443116188,0.5856080651283264,0.07490843534469604,0.5170000195503235
8,1.1747339391708373,0.3997512590885162,0.1904,0.5522,0.7518,0.5079161524772644,0.09758653491735458,0.4356819689273834,0.04076852276921272,0.5871163606643677,0.07841334491968155,0.5230000019073486
10,1.1235588317447238,0.38073984944820405,0.1436,0.5556,0.7818,0.5005876421928406,0.09420249611139297,0.4355049431324005,0.04448481276631355,0.5740965604782104,0.0804632231593132,0.5303999781608582
12,1.0654104709625245,0.40299782092571257,0.1876,0.5546,0.783,0.5012764930725098,0.09635982662439346,0.4368368983268738,0.047558605670928955,0.5744695663452148,0.08478748053312302,0.5317999720573425
14,1.0046706242031522,0.3949334474563599,0.1694,0.5472,0.794,0.49113935232162476,0.10227563232183456,0.42225751280784607,0.04881347715854645,0.56654292345047,0.09177691489458084,0.522599995136261
16,0.9421850580639309,0.4696888607978821,0.299,0.573,0.7974,0.49376586079597473,0.10019475221633911,0.4266330897808075,0.04733313247561455,0.5682632923126221,0.0902329832315445,0.5260000228881836
18,0.8850068985091315,0.35770332803726196,0.1156,0.524,0.79,0.48452895879745483,0.10007333010435104,0.4201641380786896,0.047476090490818024,0.5551574230194092,0.09484840929508209,0.5231999754905701
20,0.8290130461586847,0.40186657938957215,0.1874,0.544,0.789,0.48978304862976074,0.10244442522525787,0.4238102436065674,0.050420720130205154,0.5635831356048584,0.09526675939559937,0.527999997138977
22,0.7844089783562554,0.43925210065841674,0.2544,0.5544,0.7874,0.4918559193611145,0.10283619165420532,0.4249819815158844,0.05124983191490173,0.5648856163024902,0.09507150202989578,0.5220000147819519
