seed,best_epoch,best_mrr,hits@1_at_best,hits@3_at_best,hits@10_at_best,loss_at_best
seed1,35.0,0.2971923374790203,0.1658,0.346,0.5662,1.137761598693
seed2,80.0,0.2986658240471166,0.1696,0.3484,0.5644,1.1029683293236627
seed3,40.0,0.2920865909978951,0.1568,0.3482,0.5664,1.1319354470570882
mean+/-std,,0.2960 +/- 0.0028,0.1641 +/- 0.0054,0.3475 +/- 0.0011,0.5657 +/- 0.0009,1.1242 +/- 0.0152
