seed,best_epoch,best_mrr,hits@1_at_best,hits@3_at_best,hits@10_at_best,loss_at_best
seed1,70.0,0.3743081367015838,0.2354,0.445,0.6508,1.0841602002249824
seed2,100.0,0.3342406682491302,0.1782,0.4146,0.6484,1.066273308330112
mean+/-std,,0.3543 +/- 0.0200,0.2068 +/- 0.0286,0.4298 +/- 0.0152,0.6496 +/- 0.0012,1.0752 +/- 0.0089
