epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,1.2282488674587673,0.19736442645839417,0.0416,0.2808,0.511,,,,,,,
10,1.1939429595735338,0.2890577613751637,0.1472,0.36,0.5644,,,,,,,
15,1.1750822469923232,0.27494838113298464,0.1322,0.3396,0.5534,,,,,,,
20,1.163566483391656,0.23160053587589063,0.0654,0.3268,0.5534,,,,,,,
25,1.1524947516123454,0.2539995579297771,0.1064,0.3248,0.5478,,,,,,,
30,1.1438571940528022,0.26442739245098784,0.1138,0.335,0.5582,,,,,,,
35,1.1377615986929999,0.29719233747902035,0.1658,0.346,0.5662,,,,,,,
40,1.1306873279147678,0.266640535991505,0.1244,0.3352,0.5462,,,,,,,
45,1.1272350290086535,0.24662882182035245,0.0922,0.3262,0.5472,,,,,,,
50,1.1226013538572523,0.2742145146149356,0.1288,0.3416,0.5604,,,,,,,
55,1.1177490584055583,0.273047827783972,0.126,0.3412,0.5682,,,,,,,
60,1.113897745344374,0.27309206452334767,0.1218,0.3474,0.564,,,,,,,
65,1.1099548816680909,0.21727133498218754,0.0512,0.304,0.5354,,,,,,,
70,1.1073737552430896,0.26981433598633303,0.1144,0.3512,0.5668,,,,,,,
75,1.1052283350626628,0.22255644725064486,0.0578,0.3114,0.5484,,,,,,,
80,1.1034064859814114,0.28188900936137506,0.1392,0.346,0.5652,,,,,,,
85,1.1006089840994941,0.27148614741875354,0.1288,0.3302,0.56,,,,,,,
