epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,1.2298115396499634,0.23605776293497183,0.0934,0.3036,0.521,,,,,,,
10,1.1950011984507243,0.2314564831846292,0.0716,0.313,0.5444,,,,,,,
15,1.1759785763422648,0.2693344485102687,0.115,0.348,0.5742,,,,,,,
20,1.1635583755705092,0.22630660874413733,0.0596,0.315,0.5492,,,,,,,
25,1.1525703424877591,0.24678718812657752,0.0878,0.3316,0.5544,,,,,,,
30,1.145195222960578,0.26397601873380483,0.1098,0.3384,0.5648,,,,,,,
35,1.1392584313286676,0.21615882270413422,0.0368,0.3222,0.5634,,,,,,,
40,1.1321867163976034,0.27493287093214896,0.1278,0.3432,0.5686,,,,,,,
45,1.127019845114814,0.21925219547418964,0.0498,0.3056,0.5534,,,,,,,
50,1.1239982811609903,0.28488923411520517,0.1486,0.3386,0.5688,,,,,,,
55,1.118485369152493,0.26883828685077316,0.1162,0.3426,0.5704,,,,,,,
60,1.115879726409912,0.25791269063020156,0.099,0.3416,0.5592,,,,,,,
65,1.1109611246320936,0.2905931846631138,0.1554,0.351,0.5658,,,,,,,
70,1.1100988048977323,0.26759372936903963,0.1258,0.3268,0.5708,,,,,,,
75,1.1056507184770372,0.25048669858472566,0.0878,0.3346,0.5626,,,,,,,
80,1.1029683293236627,0.2986658240471166,0.1696,0.3484,0.5644,,,,,,,
85,1.1016571187973023,0.26473474667720437,0.111,0.339,0.5706,,,,,,,
90,1.0980260796017116,0.2647166388370795,0.111,0.339,0.5648,,,,,,,
95,1.0982474189334446,0.26937287782694036,0.124,0.3336,0.5622,,,,,,,
100,1.0953424814012316,0.24567797876450131,0.0834,0.32,0.56,,,,,,,
105,1.093409931924608,0.23546983175719505,0.0682,0.3204,0.5562,,,,,,,
110,1.0918207687801784,0.2702253119781977,0.1284,0.3304,0.5668,,,,,,,
115,1.0898921410242717,0.25939397446232615,0.1108,0.3222,0.5618,,,,,,,
120,1.0902462344699435,0.2687646807218567,0.1202,0.3354,0.5706,,,,,,,
125,1.0872534767786661,0.24541276616888352,0.0836,0.3246,0.5538,,,,,,,
130,1.0860072580973308,0.22560261169286677,0.0538,0.3092,0.5698,,,,,,,
