epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,1.2281028996573553,0.20897992527178866,0.0514,0.2958,0.5148,,,,,,,
10,1.1939461856418185,0.2596099450884474,0.109,0.3354,0.5586,,,,,,,
15,1.1760581509272257,0.25590768344688986,0.1026,0.3358,0.5474,,,,,,,
20,1.162593060069614,0.28155938574995526,0.1432,0.341,0.5644,,,,,,,
25,1.1523373746871948,0.2352681910015315,0.0736,0.3172,0.5576,,,,,,,
30,1.1453665902879504,0.2615261816998951,0.1,0.349,0.5666,,,,,,,
35,1.1383981121910942,0.2559006863494382,0.1014,0.3316,0.5602,,,,,,,
40,1.1319354470570882,0.29208659099789513,0.1568,0.3482,0.5664,,,,,,,
45,1.127103068033854,0.2602922246230417,0.1062,0.3338,0.5666,,,,,,,
50,1.1247749053107368,0.23717078082364315,0.073,0.323,0.5564,,,,,,,
55,1.118439802593655,0.26090222894353066,0.0996,0.3446,0.564,,,,,,,
60,1.1149258841408625,0.2872465660741902,0.1424,0.3554,0.5708,,,,,,,
65,1.11076149781545,0.2620852417913127,0.1152,0.3324,0.5558,,,,,,,
70,1.1118618419435289,0.2476223168647113,0.0872,0.3284,0.5538,,,,,,,
75,1.106636782222324,0.26271174600536035,0.11,0.3338,0.5642,,,,,,,
80,1.10388277053833,0.2597008790330525,0.116,0.3256,0.5552,,,,,,,
85,1.1009643533494737,0.26100166060953706,0.1094,0.3322,0.5666,,,,,,,
90,1.098967301580641,0.24394332467154892,0.0808,0.3266,0.562,,,,,,,
